elapsed_sec,hr_bpm
3,64.8
4,63.2
5,57.2
6,53.3
7,56.4
8,52.6
9,50.7
10,48.6
11,121.9
12,82.1
13,108.6
14,102.9
15,98.3
16,114.0
17,108.2
18,102.9
19,97.4
20,93.1
21,91.0
22,89.5
23,86.2
24,84.8
25,83.6
26,82.3
27,81.3
28,80.1
29,79.3
30,88.3
31,91.9
32,90.6
33,89.5
34,86.5
35,85.6
36,84.7
37,84.7
38,84.7
39,84.7
40,84.6
41,82.6
42,82.6
43,82.8
44,82.7
45,82.7
46,82.7
47,82.8
48,83.2
49,83.2
50,83.2
51,83.5
52,83.8
53,75.6
54,75.9
55,76.2
56,76.2
57,76.3
58,74.9
59,74.9
60,75.0
61,74.9
62,82.3
63,82.3
64,82.3
65,82.3
66,82.3
67,81.8
68,83.7
69,83.7
70,83.4
71,84.7
72,84.2
73,84.2
74,83.7
75,84.0
76,84.5
77,85.5
78,80.2
79,80.5
80,79.0
81,79.0
82,78.9
83,78.9
84,80.8
85,80.9
86,80.9
87,82.8
88,83.4
89,83.9
90,84.9
91,86.1
92,81.8
93,92.2
94,92.7
95,93.3
96,74.5
97,75.0
98,74.8
99,76.3
100,77.7
101,78.8
102,80.3
103,82.0
104,80.7
105,80.9
106,80.9
107,81.2
108,81.5
109,81.6
110,81.7
111,81.7
112,81.7
113,81.7
114,81.7
115,81.6
116,82.0
117,84.4
118,84.4
119,84.4
120,84.4
121,84.4
122,84.4
123,84.4
124,84.4
125,84.4
126,84.4
127,84.4
128,84.4
129,84.4
130,84.4
131,84.4
132,84.4
133,86.7
134,86.7
135,86.7
136,86.7
137,86.7
138,86.7
139,86.7
140,86.7
141,86.7
142,86.7
143,86.7
144,86.7
145,84.4
146,84.4
147,84.4
148,84.4
149,84.4
150,84.4
151,84.4
152,82.0
153,82.0
154,82.0
155,82.0
156,82.0
157,82.0
158,82.0
159,82.0
160,82.0
161,82.0
162,82.0
163,82.0
164,82.0
165,82.0
166,82.0
167,82.0
168,82.0
169,82.0
170,82.0
171,82.0
172,82.0
173,82.0
174,84.3
175,84.4
176,84.4
177,84.4
178,84.4
179,84.4
180,84.4
181,84.4
182,84.4
183,84.4
184,84.4
185,86.7
186,86.7
187,84.4
188,84.4
189,84.4
190,84.4
191,84.4
192,86.7
193,84.4
194,84.4
195,84.4
196,84.4
197,86.7
198,86.1
199,86.1
200,86.1
201,86.1
202,86.1
203,86.1
204,86.1
205,86.1
206,86.1
207,86.1
208,86.1
209,86.1
210,86.1
211,86.1
212,83.8
213,84.4
214,84.4
215,84.4
216,86.7
217,84.4
218,84.4
219,86.7
220,86.7
221,86.7
222,86.7
223,86.7
224,86.7
225,86.7
226,86.7
227,86.7
228,84.4
229,84.4
230,84.4
231,84.4
232,84.4
233,82.0
234,82.0
235,82.0
236,82.0
237,82.0
238,82.0
239,82.0
240,82.0
241,82.0
242,79.7
243,79.7
244,79.7
245,79.7
246,79.7
247,79.7
248,79.7
249,79.7
250,79.7
251,79.7
252,79.7
253,79.7
254,79.7
255,82.0
256,82.0
257,82.0
258,82.0
259,84.4
260,84.4
261,84.4
262,84.4
263,84.4
264,82.0
265,82.0
266,82.0
267,82.0
268,72.7
269,72.7
270,73.7
271,77.2
272,77.2
273,77.2
274,77.2
275,74.8
276,74.8
277,67.8
278,67.8
279,67.8
280,67.8
281,70.2
282,70.2
283,70.1
284,70.2
285,70.3
286,70.3
287,70.3
288,70.3
289,70.3
290,70.3
291,70.3
292,72.6
293,72.7
294,72.6
295,72.6
296,72.6
297,72.6
298,72.6
299,72.6
